frame_number,id,xmin,ymin,width,height,visibility,class,confidence
108,-1,1587,809,98,96,1,1,0.8974129999999999
109,-1,1577,181,72,114,1,1,0.968912
109,-1,1586,806,107,99,1,1,0.8774449999999999
110,-1,1567,180,75,115,1,1,0.964235
110,-1,1596,807,102,97,1,1,0.821836
111,-1,1554,179,83,112,1,1,0.9692609999999999
111,-1,1597,808,105,95,1,1,0.8505469999999999
112,-1,1549,181,85,110,1,1,0.975972
112,-1,1595,808,110,94,1,1,0.8797149999999999
113,-1,1547,182,87,108,1,1,0.9743269999999999
113,-1,1592,810,113,92,1,1,0.8682829999999999
114,-1,1542,180,87,110,1,1,0.961457
114,-1,1600,804,108,98,1,1,0.915122
115,-1,1541,180,87,112,1,1,0.967475
115,-1,1619,804,93,94,1,1,0.894655
116,-1,1533,169,61,112,1,1,0.9437599999999999
116,-1,1665,805,96,101,1,1,0.890504
117,-1,1525,168,68,110,1,1,0.9177599999999999
117,-1,1667,805,103,100,1,1,0.85736
118,-1,1521,166,68,113,1,1,0.897577
118,-1,1670,807,106,100,1,1,0.878419
119,-1,1521,166,67,112,1,1,0.899925
119,-1,1679,807,97,101,1,1,0.883188
120,-1,1503,168,85,110,1,1,0.970117
120,-1,1690,809,91,101,1,1,0.927577
121,-1,1494,170,89,107,1,1,0.9663759999999999
121,-1,1692,809,95,100,1,1,0.9547709999999999
122,-1,1691,809,99,102,1,1,0.9650139999999999
122,-1,1496,171,86,105,1,1,0.958008
123,-1,1490,168,85,107,1,1,0.960791
123,-1,1703,809,90,104,1,1,0.945657
124,-1,1501,167,68,111,1,1,0.965741
124,-1,1710,809,81,104,1,1,0.586963
125,-1,1501,167,67,111,1,1,0.9651869999999999
125,-1,1709,809,84,105,1,1,0.794114
126,-1,1492,168,74,108,1,1,0.962158
126,-1,1716,807,90,107,1,1,0.9269799999999999
127,-1,1492,168,67,107,1,1,0.963146
127,-1,1723,806,90,107,1,1,0.8960779999999999
128,-1,1488,166,72,108,1,1,0.9590329999999999
128,-1,1722,806,94,108,1,1,0.8276669999999999
129,-1,1488,165,69,107,1,1,0.9605699999999999
129,-1,1729,808,96,103,1,1,0.898867
130,-1,1491,165,62,106,1,1,0.971116
130,-1,1728,807,101,104,1,1,0.8837959999999999
131,-1,1491,164,63,106,1,1,0.9699059999999999
131,-1,1727,808,102,103,1,1,0.84586
132,-1,1491,163,60,105,1,1,0.965013
132,-1,1730,809,99,102,1,1,0.926597
133,-1,1483,166,65,104,1,1,0.96568
133,-1,1725,810,108,101,1,1,0.880398
133,-1,1059,-1,36,28,1,1,0.276625
134,-1,1479,161,64,111,1,1,0.9722919999999999
134,-1,1723,810,117,101,1,1,0.9542889999999999
134,-1,1059,-1,36,28,1,1,0.274098
135,-1,1475,164,65,107,1,1,0.9693419999999999
135,-1,1727,809,117,101,1,1,0.8961859999999999
135,-1,1058,-1,37,29,1,1,0.31251399999999996
136,-1,1470,165,65,104,1,1,0.970198
136,-1,1731,810,113,101,1,1,0.8644419999999999
136,-1,1059,-1,36,28,1,1,0.279091
137,-1,1469,165,66,105,1,1,0.975042
137,-1,1726,811,119,100,1,1,0.902979
137,-1,1059,-1,36,29,1,1,0.296989
138,-1,1465,163,66,107,1,1,0.981575
138,-1,1726,808,127,103,1,1,0.911102
138,-1,1059,-1,36,28,1,1,0.290103
139,-1,1454,166,70,104,1,1,0.9811559999999999
139,-1,1747,805,114,102,1,1,0.8637739999999999
139,-1,1059,-1,36,29,1,1,0.342872
140,-1,1449,168,72,100,1,1,0.9774569999999999
140,-1,1776,805,85,87,1,1,0.85985
140,-1,1058,-1,36,29,1,1,0.352817
141,-1,1452,164,68,106,1,1,0.9677859999999999
141,-1,1763,802,105,104,1,1,0.879887
141,-1,1059,-1,36,28,1,1,0.27721799999999996
142,-1,1454,159,64,111,1,1,0.9391269999999999
142,-1,1772,800,102,105,1,1,0.856486
143,-1,1454,159,64,111,1,1,0.938089
143,-1,1771,800,103,105,1,1,0.873317
144,-1,1783,802,96,99,1,1,0.9311809999999999
144,-1,1435,159,79,109,1,1,0.9016919999999999
145,-1,1433,161,79,105,1,1,0.938581
145,-1,1801,803,67,81,1,1,0.63495
145,-1,1836,802,46,68,1,1,0.28823499999999996
145,-1,1059,-1,36,28,1,1,0.254365
146,-1,1438,159,72,107,1,1,0.848595
146,-1,1811,803,89,75,1,1,0.472942
147,-1,1434,158,73,107,1,1,0.9186559999999999
147,-1,1810,803,94,79,1,1,0.5370269999999999
147,-1,1059,-1,36,28,1,1,0.256942
148,-1,1438,156,61,106,1,1,0.8707309999999999
148,-1,1811,803,92,78,1,1,0.557779
148,-1,1059,-1,36,28,1,1,0.305465
149,-1,1439,156,60,108,1,1,0.8650669999999999
149,-1,1812,803,92,76,1,1,0.586047
149,-1,1059,-1,36,28,1,1,0.30233699999999997
150,-1,1437,156,63,99,1,1,0.9561609999999999
150,-1,1815,803,84,95,1,1,0.799372
150,-1,1059,-1,36,28,1,1,0.312228
151,-1,1434,152,64,104,1,1,0.9727819999999999
151,-1,1805,802,112,95,1,1,0.8683069999999999
152,-1,1434,150,57,104,1,1,0.94004
152,-1,1793,802,126,95,1,1,0.640995
153,-1,1431,155,60,100,1,1,0.930086
154,-1,1430,152,55,100,1,1,0.9347559999999999
155,-1,1429,152,55,99,1,1,0.942036
156,-1,1424,149,57,101,1,1,0.953317
157,-1,1412,150,69,101,1,1,0.955869
158,-1,1405,153,74,98,1,1,0.8990779999999999
159,-1,1399,151,73,100,1,1,0.964756
160,-1,1393,149,75,102,1,1,0.975892
161,-1,1393,149,75,102,1,1,0.975201
162,-1,1391,148,75,103,1,1,0.9776459999999999
163,-1,1392,150,71,101,1,1,0.9696049999999999
164,-1,1382,155,77,96,1,1,0.959301
165,-1,1343,141,81,102,1,1,0.919812
166,-1,1341,141,82,102,1,1,0.806064
167,-1,1341,142,81,102,1,1,0.8529749999999999
168,-1,1336,139,82,106,1,1,0.9473929999999999
169,-1,1337,136,79,105,1,1,0.972548
170,-1,1340,136,68,105,1,1,0.964907
171,-1,1341,137,66,105,1,1,0.972718
172,-1,1342,135,59,106,1,1,0.954668
173,-1,1343,135,59,106,1,1,0.9582649999999999
174,-1,1343,132,56,108,1,1,0.89047
175,-1,1340,132,55,107,1,1,0.9025449999999999
176,-1,1334,131,59,107,1,1,0.951877
177,-1,1338,129,49,106,1,1,0.784729
178,-1,1324,128,61,110,1,1,0.878524
179,-1,1323,129,62,109,1,1,0.8817619999999999
180,-1,1321,130,60,107,1,1,0.891598
181,-1,1324,127,56,104,1,1,0.787847
182,-1,1314,128,61,106,1,1,0.941186
183,-1,1302,128,70,104,1,1,0.9730409999999999
184,-1,1300,127,70,105,1,1,0.9727239999999999
185,-1,1299,128,70,104,1,1,0.9742719999999999
186,-1,1296,127,72,103,1,1,0.9335669999999999
187,-1,1297,129,70,100,1,1,0.87132
187,-1,1867,850,55,96,1,1,0.693435
188,-1,1292,125,68,105,1,1,0.880014
188,-1,1863,839,57,105,1,1,0.5483359999999999
189,-1,1305,125,55,105,1,1,0.8547399999999999
189,-1,1857,839,64,100,1,1,0.687863
190,-1,1298,120,54,109,1,1,0.8780819999999999
190,-1,1857,833,64,103,1,1,0.799674
191,-1,1298,121,55,108,1,1,0.8489589999999999
191,-1,1857,834,63,103,1,1,0.806314
192,-1,1301,122,48,104,1,1,0.73391
192,-1,1860,802,61,127,1,1,0.583013
193,-1,1298,122,48,104,1,1,0.921168
193,-1,1855,804,65,116,1,1,0.7562719999999999
194,-1,1295,121,47,103,1,1,0.9151469999999999
194,-1,1857,801,63,111,1,1,0.603847
195,-1,1290,120,49,102,1,1,0.932291
196,-1,1293,115,42,109,1,1,0.276167
197,-1,1857,808,64,99,1,1,0.252276
198,-1,1844,805,76,104,1,1,0.326276
199,-1,1840,801,80,107,1,1,0.7844899999999999
199,-1,1287,111,46,114,1,1,0.6319359999999999
200,-1,1826,799,96,108,1,1,0.793705
201,-1,1827,795,95,111,1,1,0.8409669999999999
202,-1,1825,790,97,117,1,1,0.915349
203,-1,1824,790,98,117,1,1,0.9135789999999999
204,-1,1837,782,85,125,1,1,0.935132
205,-1,1820,781,102,127,1,1,0.93536
206,-1,1821,776,101,133,1,1,0.9273349999999999
206,-1,1279,112,34,87,1,1,0.28829899999999997
207,-1,1833,771,89,137,1,1,0.9400569999999999
208,-1,1826,773,95,131,1,1,0.886462
208,-1,1261,106,47,95,1,1,0.663281
209,-1,1826,772,95,132,1,1,0.889173
209,-1,1263,107,46,92,1,1,0.623764
210,-1,1823,769,98,131,1,1,0.8988769999999999
210,-1,1254,101,52,109,1,1,0.8162659999999999
211,-1,1819,763,102,124,1,1,0.936426
211,-1,1256,101,48,111,1,1,0.812514
212,-1,1821,763,99,113,1,1,0.8970819999999999
212,-1,1252,98,49,117,1,1,0.617115
212,-1,1260,100,40,71,1,1,0.252173
213,-1,1247,95,52,116,1,1,0.905457
213,-1,1823,762,97,107,1,1,0.8770899999999999
214,-1,1812,745,93,115,1,1,0.97015
214,-1,1212,91,67,109,1,1,0.895077
215,-1,1812,746,93,114,1,1,0.968559
215,-1,1211,91,67,109,1,1,0.9104639999999999
216,-1,1804,743,102,118,1,1,0.977972
216,-1,1205,91,69,106,1,1,0.816869
217,-1,1795,740,116,120,1,1,0.9588409999999999
217,-1,1202,96,71,101,1,1,0.8057989999999999
218,-1,1791,739,120,119,1,1,0.9157289999999999
218,-1,1204,91,68,107,1,1,0.804627
219,-1,1798,734,116,123,1,1,0.908303
219,-1,1221,87,44,105,1,1,0.600232
220,-1,1789,733,99,125,1,1,0.8238639999999999
220,-1,1218,84,46,107,1,1,0.540665
221,-1,1791,733,97,125,1,1,0.845847
221,-1,1218,85,46,106,1,1,0.572994
222,-1,1773,730,111,128,1,1,0.883065
222,-1,1215,83,46,110,1,1,0.7833749999999999
223,-1,1756,726,126,132,1,1,0.942827
223,-1,1215,82,44,111,1,1,0.338945
224,-1,1766,726,114,121,1,1,0.964262
224,-1,1212,80,44,111,1,1,0.310283
225,-1,1761,722,115,116,1,1,0.9784069999999999
225,-1,1207,78,46,111,1,1,0.771525
226,-1,1761,719,110,116,1,1,0.980192
226,-1,1202,78,48,111,1,1,0.9049079999999999
227,-1,1761,719,111,116,1,1,0.9821209999999999
227,-1,1202,78,48,111,1,1,0.906839
227,-1,1057,-1,40,27,1,1,0.26819899999999997
228,-1,1762,716,103,118,1,1,0.9844759999999999
228,-1,1188,77,56,113,1,1,0.675681
229,-1,1761,712,102,116,1,1,0.9623269999999999
229,-1,1203,76,41,111,1,1,0.5554669999999999
230,-1,1760,710,101,107,1,1,0.9590869999999999
230,-1,1186,78,50,113,1,1,0.663941
231,-1,1755,709,103,102,1,1,0.9687359999999999
231,-1,1202,76,39,113,1,1,0.62389
232,-1,1755,705,99,102,1,1,0.916275
232,-1,1192,76,45,113,1,1,0.754211
233,-1,1754,705,100,102,1,1,0.9286289999999999
233,-1,1192,77,45,111,1,1,0.7039179999999999
234,-1,1751,702,101,113,1,1,0.9306939999999999
234,-1,1186,77,49,106,1,1,0.670339
234,-1,1891,797,30,82,1,1,0.324103
234,-1,1058,-1,38,26,1,1,0.25776699999999997
235,-1,1749,698,98,119,1,1,0.915887
235,-1,1188,75,45,107,1,1,0.662029
235,-1,1890,794,31,88,1,1,0.55731
235,-1,1058,-1,38,27,1,1,0.30139699999999997
236,-1,1744,697,97,119,1,1,0.94672
236,-1,1189,75,42,93,1,1,0.834066
236,-1,1885,793,36,87,1,1,0.7135859999999999
236,-1,1058,-1,38,27,1,1,0.326623
237,-1,1752,696,91,119,1,1,0.938387
237,-1,1171,75,59,103,1,1,0.769852
237,-1,1881,791,41,89,1,1,0.534061
237,-1,1058,-1,38,26,1,1,0.294083
238,-1,1751,695,85,122,1,1,0.938816
238,-1,1181,73,45,97,1,1,0.916198
238,-1,1878,793,44,86,1,1,0.7456849999999999
238,-1,1058,-1,38,27,1,1,0.290194
239,-1,1749,695,87,121,1,1,0.9333309999999999
239,-1,1181,73,45,97,1,1,0.9162119999999999
239,-1,1878,794,44,85,1,1,0.759224
239,-1,1058,-1,38,27,1,1,0.286767
240,-1,1754,690,79,126,1,1,0.9077409999999999
240,-1,1171,72,54,110,1,1,0.824058
240,-1,1880,792,42,85,1,1,0.8100539999999999
241,-1,1755,690,72,125,1,1,0.903249
241,-1,1165,68,60,121,1,1,0.8519479999999999
241,-1,1873,794,48,82,1,1,0.801209
242,-1,1756,688,66,126,1,1,0.8663879999999999
242,-1,1876,793,45,83,1,1,0.849321
242,-1,1168,68,51,108,1,1,0.836688
243,-1,1873,792,48,85,1,1,0.7743399999999999
243,-1,1170,65,52,110,1,1,0.768685
243,-1,1747,686,72,127,1,1,0.685699
244,-1,1166,63,54,114,1,1,0.9218649999999999
244,-1,1741,679,77,130,1,1,0.833733
244,-1,1878,790,43,87,1,1,0.7703829999999999
245,-1,1166,63,53,114,1,1,0.9278099999999999
245,-1,1740,679,78,130,1,1,0.825707
245,-1,1877,790,44,88,1,1,0.768813
246,-1,1165,62,54,112,1,1,0.9280729999999999
246,-1,1740,677,75,126,1,1,0.752559
246,-1,1877,789,44,90,1,1,0.365348
247,-1,1164,62,51,112,1,1,0.923983
247,-1,1725,676,88,125,1,1,0.590231
248,-1,1155,62,49,113,1,1,0.871825
248,-1,1741,673,71,117,1,1,0.857499
248,-1,1870,779,48,96,1,1,0.624922
249,-1,1152,60,52,114,1,1,0.918972
249,-1,1724,669,86,114,1,1,0.7140559999999999
249,-1,1865,777,53,99,1,1,0.661036
250,-1,1142,62,63,111,1,1,0.958105
250,-1,1854,774,66,104,1,1,0.819361
251,-1,1143,62,61,111,1,1,0.953345
251,-1,1855,773,65,105,1,1,0.8295509999999999
251,-1,1744,665,64,117,1,1,0.26370299999999997
252,-1,1143,61,58,112,1,1,0.966204
252,-1,1852,768,69,108,1,1,0.800117
253,-1,1134,62,67,111,1,1,0.965363
253,-1,1847,764,74,113,1,1,0.840158
253,-1,1759,663,40,80,1,1,0.474603
253,-1,1059,-1,38,27,1,1,0.255548
254,-1,1124,62,71,109,1,1,0.9686929999999999
254,-1,1843,757,78,114,1,1,0.908368
254,-1,1759,660,39,84,1,1,0.7041729999999999
254,-1,1058,-1,39,28,1,1,0.286083
254,-1,1880,751,40,108,1,1,0.26805799999999996
255,-1,1127,62,67,106,1,1,0.962799
255,-1,1844,754,77,115,1,1,0.849398
255,-1,1761,658,34,89,1,1,0.7836989999999999
255,-1,1058,-1,39,27,1,1,0.27854999999999996
256,-1,1120,59,74,110,1,1,0.96527
256,-1,1760,657,32,91,1,1,0.812877
256,-1,1842,746,79,115,1,1,0.7045239999999999
256,-1,1058,-1,39,27,1,1,0.250362
257,-1,1120,59,74,110,1,1,0.96776
257,-1,1760,657,31,91,1,1,0.809557
257,-1,1842,746,78,115,1,1,0.686286
257,-1,1058,-1,39,27,1,1,0.255472
258,-1,1122,59,72,108,1,1,0.9636709999999999
258,-1,1836,748,83,98,1,1,0.609785
258,-1,1759,654,32,99,1,1,0.5693429999999999
258,-1,1884,733,38,104,1,1,0.28252099999999997
259,-1,1127,62,66,105,1,1,0.946247
259,-1,1832,752,69,83,1,1,0.66589
259,-1,1757,656,36,107,1,1,0.580194
259,-1,1892,732,30,104,1,1,0.362224
260,-1,1135,62,58,103,1,1,0.878197
260,-1,1828,754,50,76,1,1,0.847972
260,-1,1756,652,38,114,1,1,0.569604
260,-1,1887,735,34,93,1,1,0.5153
260,-1,1058,-1,39,27,1,1,0.287707
261,-1,1130,62,63,102,1,1,0.948097
261,-1,1828,751,46,82,1,1,0.803225
261,-1,1885,730,37,90,1,1,0.709418
261,-1,1754,651,42,114,1,1,0.49998499999999996
262,-1,1107,45,47,109,1,1,0.6367269999999999
262,-1,1842,707,51,69,1,1,0.54784
262,-1,1846,704,72,125,1,1,0.473246
262,-1,1780,721,74,63,1,1,0.459964
262,-1,1833,707,64,100,1,1,0.27045399999999997
263,-1,1107,45,47,108,1,1,0.618974
263,-1,1842,707,50,70,1,1,0.565596
263,-1,1846,703,72,125,1,1,0.451449
263,-1,1780,721,74,64,1,1,0.44396399999999997
264,-1,1102,46,48,108,1,1,0.767739
264,-1,1774,717,92,91,1,1,0.6121329999999999
264,-1,1837,704,53,78,1,1,0.570754
264,-1,1885,711,37,134,1,1,0.297137
265,-1,1771,714,91,99,1,1,0.79365
265,-1,1836,697,52,85,1,1,0.5549459999999999
265,-1,1105,43,42,102,1,1,0.547349
265,-1,1845,691,73,98,1,1,0.376479
265,-1,1873,705,48,105,1,1,0.33075299999999996
266,-1,1099,42,45,109,1,1,0.89394
266,-1,1845,683,77,104,1,1,0.729888
266,-1,1774,706,87,93,1,1,0.667352
266,-1,1830,695,62,88,1,1,0.616835
267,-1,1099,41,41,111,1,1,0.933956
267,-1,1772,703,90,80,1,1,0.8610789999999999
267,-1,1851,679,71,110,1,1,0.574886
267,-1,1828,692,60,90,1,1,0.265075
268,-1,1098,41,42,114,1,1,0.941052
268,-1,1776,700,74,84,1,1,0.7818529999999999
268,-1,1847,681,75,106,1,1,0.44134799999999996
268,-1,1829,688,62,94,1,1,0.291719
269,-1,1098,41,42,114,1,1,0.9411269999999999
269,-1,1776,700,72,84,1,1,0.801693
269,-1,1848,681,75,107,1,1,0.447079
269,-1,1829,689,64,93,1,1,0.262384
270,-1,1099,41,40,112,1,1,0.952469
